treatcode	obsdate	calage	stagnb	stadnb	stafnb	stahtvd	blatnb	blagnb	blastvd	glai	ei	stamsu	stamfm	stamdm	stamwc	stamsuc	stamfbc	stambjc	stampur	blagdm	bladm	agrfm	agrdm	agrwc	sendm
CP04-0-0-AAA-R570	25-01-1995	1	-999	-999	-999	-999	23.5	14.96667	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	25-10-1994	1	-999	-999	-999	-999	-999	-999	-999	-999	0.8159147	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	27-04-1994	1	-999	-999	-999	-999	-999	-999	-999	-999	0.079	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	28-10-1994	1	20.22	0.56	-999	-999	-999	-999	-999	3.85	-999	-999	0.6821	0.124	82.353	-999	-999	-999	-999	3.5547	-999	-999	9.0795	-999	-999
CP04-3-0-AAA-R570	02-03-1999	1	23.95555	2.755556	-999	-999	26.71111	23.95555	-999	3.852094	-999	0.093874	3.7465	0.6060082	83.957	8	9.97	8	8	3.639322	4.051344	-999	8.051592	-999	0.66
CP04-3-0-AAA-R570	06-07-1999	1	12.4	13.11111	-999	-999	25.51111	12.4	-999	5.902992	-999	5.456776	59.129	14.44183	75.575	14.4	12.05	14.4	14.4	6.300174	10.25493	-999	32.41364	-999	6.53
CP04-3-0-AAA-R570	21-04-1999	1	15.91111	9.466666	-999	-999	25.37778	15.91111	-999	5.284285	-999	1.057995	23.0544	4.314724	81.302	10.2	11.18	10.2	10.2	5.413908	6.572284	-999	16.30499	-999	1.9
CP04-3-0-AAA-R570	21-12-1998	1	18.93333	-999	-999	-999	-999	-999	-999	1.376599	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.358531	-999	-999
CP04-3-0-AAA-R570	23-09-1999	1	11.91111	13.51111	-999	-999	25.42222	11.91111	-999	7.697889	-999	9.941175	77.9754	22.06491	71.707	17.68	12.38	17.68	17.68	8.311207	12.64867	-999	43.69323	-999	7.16
CP04-3-0-AAA-R570	26-01-1999	1	28.31111	-999	-999	-999	-999	-999	-999	3.12	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4.7	-999	-999
CP04-3-0-AAA-R570	27-11-1998	1	13.02222	-999	-999	-999	-999	-999	-999	0.6698156	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.6639542	-999	-999
CVA1-0-0-AAA-R570	02-04-2003	1	2.5	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CVA1-0-0-AAA-R570	02-04-2004	1	7.833333	17.08333	-999	-999	-999	-999	-999	5.761	-999	-999	91.63844	18.17885	80.17	-999	-999	-999	-999	5.939368	-999	-999	32.89598	-999	-999
CVA1-0-0-AAA-R570	03-06-2003	1	-999	-999	-999	-999	6.4	5.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CVA1-0-0-AAA-R570	03-07-2003	1	13.95833	2.416667	-999	-999	-999	-999	-999	0.442	-999	0	0	0	-999	-999	-999	-999	-999	0.2892428	-999	-999	0.5813255	-999	-999
CVA1-0-0-AAA-R570	04-06-2003	1	9.333333	1.125	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CVA1-0-0-AAA-R570	04-11-2003	1	-999	-999	-999	-999	17.45	10.35	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CVA1-0-0-AAA-R570	05-05-2003	1	6.333333	0.06666667	-999	-999	-999	-999	-999	0.223	-999	0	0	0	-999	-999	-999	-999	-999	0.0797134	-999	-999	0.161185	-999	-999
CVA1-0-0-AAA-R570	05-07-2003	1	15.83333	2.291667	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
